Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
10.811,267.7,662.2,268.72
10.812,267.71,662.22,268.73
10.813,267.71,662.25,268.74
10.814,267.72,662.3,268.75
10.815,267.72,662.38,268.76
10.816,267.73,662.51,268.77
10.817,267.73,662.72,268.78
10.818,267.73,663.01,268.79
10.819,267.74,663.38,268.8
10.82,267.74,663.82,268.81
10.821,267.75,664.32,268.82
10.822,267.75,664.87,268.83
10.823,267.76,665.47,268.84
10.824,267.76,666.09,268.85
10.825,267.76,666.75,268.86
10.826,267.77,667.44,268.87
10.827,267.77,668.16,268.88
10.828,267.78,668.92,268.89
10.829,267.78,669.7,268.9
10.83,267.79,670.52,268.91
10.831,267.79,671.36,268.91
10.832,267.79,672.22,268.92
10.833,267.8,673.08,268.93
10.834,267.8,673.92,268.94
10.835,267.81,674.73,268.95
10.836,267.81,675.47,268.95
10.837,267.82,676.15,268.96
10.838,267.82,676.75,268.97
10.839,267.82,677.27,268.97
10.84,267.83,677.71,268.98
10.841,267.83,678.07,268.98
10.842,267.84,678.37,268.99
10.843,267.84,678.63,269.0
10.844,267.84,678.87,269.0
10.845,267.85,679.1,269.01
10.846,267.85,679.32,269.01
10.847,267.86,679.53,269.01
10.848,267.86,679.72,269.02
10.849,267.87,679.87,269.02
10.85,267.87,679.98,269.03
10.851,267.87,680.06,269.03
10.852,267.88,680.09,269.03
10.853,267.88,680.07,269.03
10.854,267.89,680.0,269.04
10.855,267.89,679.86,269.04
10.856,267.89,679.65,269.04
10.857,267.9,679.38,269.04
